,delayable,social,staple,work_related,temp_col
count,21.0,21.0,21.0,21.0,21.0
mean,98.80952380952381,90.53333333333335,100.95714285714286,85.37142857142858,85.37142857142858
std,7.565309297173828,9.862420257387807,15.690556759674637,8.361407947059087,8.361407947059087
min,75.1,63.6,73.3,63.2,63.2
25%,98.0,87.2,94.4,85.0,85.0
50%,100.0,93.5,103.2,86.6,86.6
75%,103.9,98.7,110.2,89.0,89.0
max,107.3,100.2,127.2,100.7,100.7
