,delayable,social,staple,work_related,temp_col
count,14.0,14.0,14.0,14.0,14.0
mean,1.692857142857143,1.7357142857142853,2.9785714285714286,1.671428571428571,1.671428571428571
std,0.6977593653030619,1.2105987983429733,0.27784492472924927,0.5224624703909678,0.5224624703909678
min,0.8,0.4,2.5,0.7,0.7
25%,1.3,0.9500000000000001,2.8,1.4,1.4
50%,1.45,1.2999999999999998,3.05,1.7000000000000002,1.7000000000000002
75%,2.0500000000000003,2.175,3.1750000000000003,1.9,1.9
max,2.9,3.9,3.3,2.4,2.4
