,delayable,social,staple,work_related,temp_col
count,475.0,475.0,475.0,475.0,475.0
mean,0.0013375962693013893,0.0009832495575620044,0.0007861760286161553,0.0011117841807884283,0.0011117841807884283
std,0.04356149287919118,0.039774883698794596,0.031217525398462488,0.03138661161662457,0.03138661161662457
min,-0.4517748036077974,-0.35702587618735676,-0.3656883472204949,-0.2860494213324992,-0.2860494213324992
25%,-0.008759938651539415,-0.005490630382203494,-0.007963885083538732,-0.004084595087992764,-0.004084595087992764
50%,0.0018640908320623527,0.0020765027322404124,0.001494321578003643,0.0024924570379115532,0.0024924570379115532
75%,0.014461020432277613,0.012531399571010383,0.009767131722081462,0.008741275547051185,0.008741275547051185
max,0.28402078596947056,0.20225872689938404,0.2472573839662446,0.28031257877489285,0.28031257877489285
