,delayable,social,staple,work_related,temp_col
count,343.0,343.0,343.0,343.0,343.0
mean,0.2419379566815962,0.6714798943675839,0.05019829004584979,0.1489386288053767,0.1489386288053767
std,0.116505336772327,0.19474132096638644,0.022404665038369256,0.05516546500680928,0.05516546500680928
min,0.08715151011265629,0.3446471664604553,0.02146392852799758,0.0772547131092862,0.0772547131092862
25%,0.15724685347346695,0.492443149550165,0.02995868249134853,0.10409691400457684,0.10409691400457684
50%,0.22298951198577796,0.677546300143326,0.042861405264886805,0.12604716349409853,0.12604716349409853
75%,0.3406220426807648,0.8655434783231604,0.07543385820649717,0.20565255455161136,0.20565255455161136
max,0.45267922424396556,0.9440833755020851,0.0882701291889271,0.24860007598407638,0.24860007598407638
