,delayable,social,staple,work_related,temp_col
count,96.0,96.0,96.0,96.0,96.0
mean,4107884.9689136124,1453786.8785430372,3677540.6541130748,1522319.580692594,1522319.580692594
std,104192.11509557827,183166.86191301077,492306.349082944,66661.87338790651,66661.87338790651
min,3788373.0,1201637.1432043482,2869298.4147477737,1341578.7872386253,1341578.7872386253
25%,4034077.15161861,1309254.849670378,3164229.972243264,1470554.1090771938,1470554.1090771938
50%,4092978.978614034,1384974.6468518453,3743141.3777668662,1537749.201371471,1537749.201371471
75%,4195983.003465554,1599908.75,4111060.25,1572271.0124669878,1572271.0124669878
max,4390062.187302258,1820685.0,4518926.108013653,1638204.0,1638204.0
